"instance"	"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"state_Shift..dimension.1."	"state_Shift..dimension.2."	"state_Slope..dimension.1."	"state_Slope..dimension.2."
"1"	1	0.217046258889374	0.166667877838695	0.120877140855528	0.309188019640708	0.257270320603781	0.1875	0.292820773671013	0.150157203535383	0.287498443944966	0.26250008637649	5.69945902330864	0.179938817622058	3.42183383080134	8.48628002450219
"2"	2	0.17916726388355	0.162513079295044	0.333561557623065	0.312465522154936	0.376894681055	0.399611431418159	0.431275713111563	0.117753792944814	0.383398105188826	0.258335141215188	5.41053623095751	5.70009160832495	-5.35404009762492	2.76787147719077
"3"	3	0.25133830250661	0.186472007018254	0.268143572618384	0.356286495696922	0.175940609530422	0.261355226921741	0.27722569118951	0.155049627271771	0.304137945157273	0.358391483278362	1.57994648752958	6.37488520105643	1.03789863418274	4.21933069937961
"4"	4	0.324999845520189	0.18056276441193	0.302769018192241	0.141834383451949	0.416901784955646	0.378183970508491	0.222252972988159	0.235730576723071	0.187651299170299	0.158342725922973	2.61235568666599	6.47805123577276	7.62276039219934	-3.08988695702752
"5"	5	0.280266104397146	0.286502897410749	0.331060428616919	0.0787257947670883	0.258456501470062	0.22086649722138	0.21250124114576	0.166666842006558	0.204166679307843	0.387500001055269	2.25508960301943	0.188678665785412	2.48316400187186	6.26020551459396
"6"	6	0.254255322697313	0.318498628655653	0.414240639208176	0.37979042721336	0.370450744901342	0.266514713418458	0.381441950034367	0.239968713601372	0.346580282138623	0.313185323612338	4.35104882220082	2.7364007722713	0.880899361223055	7.5031237461072
"7"	7	0.255142427008791	0.321970867080066	0.322082694902241	0.153448786134478	0.329323825293205	0.375001992641599	0.275000140510117	0.187500002004342	0.225000000021085	0.26666666666715	2.34523449619897	3.35677910658901	-3.82790171346251	-4.14366355848531
"8"	8	0.223706077094266	0.291243066012174	0.308834709570254	0.359489598509201	0.463025546583765	0.50393724746683	0.206685094248663	0.278374020894801	0.0925086223111663	0.25867664455205	3.49019154399663	4.94462813082805	-1.15488820640353	1.57643788477955
"9"	9	0.376867722064791	0.312866598501561	0.365689084082562	0.474074905311962	0.435966324068151	0.387075946210346	0.427341093844072	0.255982881924576	0.310373677377365	0.294459905569202	-0.0882175705186636	6.86878118374656	0.248151688232652	0.941690180724651
"10"	10	0.206606909038463	0.398158497796958	0.415517927092987	0.466664954378503	0.294105652967399	0.402859241983326	0.291779875692892	0.191671534953112	0.26666700680932	0.0958333825416066	5.24420749639188	2.34672553418321	4.61374496662377	2.07916444089359
"11"	11	0.300413215875276	0.279763697048014	0.291666666963483	0.466667497334691	0.155510088324337	0.319901336654155	0.28335253813034	0.245833340271115	0.208333333334164	0.512500000000001	0.596981515558794	5.71391487286792	4.30133835305121	7.85186692527831
"12"	12	0.298151565669942	0.196582792804282	0.481030763965815	0.257025843019731	0.362845521597067	0.312875976284571	0.316688969662261	0.0500014548157365	0.270833460086493	0.279166669793984	2.80524002419803	3.26360257120871	-3.10294315827269	-2.61036131100745
"13"	13	0.52654856192098	0.392675052886116	0.574237747224372	0.485985964552154	0.326074877419825	0.428158285610481	0.192964810665811	0.267494460918551	0.141913172560104	0.0777101242138607	3.22062914199467	2.46456819565371	0.843284894449825	0.479838104450196
"14"	14	0.369493715426629	0.542822235347108	0.398945509382678	0.449059209899738	0.287626489220418	0.437512932200749	0.102038669439102	0.387674124748442	0.13349020240895	0.325025454048499	1.78973335013568	2.8744386018836	-1.0745283478797	-1.70538724337387
"15"	15	0.218804348278887	0.484469614747323	0.362252650487047	0.425001017795817	0.178100146567806	0.450460133947901	0.366015492501876	0.214364694361148	0.188206799165341	0.23207772580045	1.84361350755689	3.04933079832774	-5.67010753556831	-0.450081132572925
"16"	16	0.162500122034792	0.275007689545783	0.200135124126427	0.227307044792495	0.242440269759643	0.348199058599965	0.344224682123692	0.336397337743493	0.477589862141157	0.133467312352853	7.87332235801051	5.5283448630853	-3.66520243905122	3.24953799891535
"17"	17	0.359815319624336	0.165233264156133	0.362567874514201	0.321236436228448	0.181126224405249	0.237911654033941	0.340945559751949	0.256586815988578	0.391647536995454	0.35002286260472	3.73259635600841	6.7277129432595	1.42873175388522	4.45763576576185
"18"	18	0.300039846513645	0.379173060253681	0.215299165644428	0.330137932419397	0.245785142082594	0.407084027479803	0.241712690464536	0.179167792008204	0.308333373455604	0.120833333644733	2.48326866056031	4.71734025092282	6.29670746158566	3.8935288489599
"19"	19	0.208812095203764	0.355345521022762	0.275694001640568	0.399382016649837	0.22200068747066	0.349995635825979	0.212503030849497	0.145833491934222	0.23750000603068	0.125000000159114	3.98790016914552	3.09364269915097	-8.46965835595352	-3.07537541310647
"20"	20	0.317060781980557	0.222918247655713	0.275964114888941	0.25915289520881	0.453328101205687	0.461581874190346	0.460160965365617	0.483670503738981	0.14490945519393	0.289632487037976	6.69867546145239	6.37917358792228	-0.681477442012095	-1.689023978796
"21"	21	0.183482473094844	0.316022265390376	0.390043273667088	0.350494737732818	0.407200184457464	0.320947678573211	0.158740496224713	0.20833733325319	0.233333352296278	0.275000000220662	2.90974385496697	5.73344727795009	3.04329153527271	5.12130681837962
"22"	22	0.3319799915164	0.479620099708519	0.384330525586739	0.451985541039479	0.501621115990665	0.502664151910744	0.441593409243986	0.381715564965706	0.395562146335255	0.454183367949863	4.87528436703729	5.71906078222197	0.247231293183634	-1.72111383192055
"23"	23	0.182032184086112	0.195450260817572	0.181492946452419	0.20097322966	0.168756139100646	0.252860823438652	0.282541269537774	0.38801931926492	0.17527180177792	0.300007083708638	6.18121927601828	2.00893649208778	2.62926646591661	-5.29217029139538
"24"	24	0.466624349972527	0.325415469050033	0.284569797967626	0.427149910199566	0.24605414989796	0.422066693911671	0.149094400579972	0.0815186182078448	0.219836420981468	0.126639264787674	4.14105386810104	3.09548691573618	4.03945352004406	0.817993742797207
