"instance"	"DN_HistogramMode_5"	"DN_HistogramMode_10"	"CO_f1ecac"	"CO_FirstMin_ac"	"CO_HistogramAMI_even_2_5"	"CO_trev_1_num"	"MD_hrv_classic_pnn40"	"SB_BinaryStats_mean_longstretch1"	"SB_TransitionMatrix_3ac_sumdiagcov"	"PD_PeriodicityWang_th0_01"	"CO_Embed2_Dist_tau_d_expfit_meandiff"	"IN_AutoMutualInfoStats_40_gaussian_fmmi"	"FC_LocalSimple_mean1_tauresrat"	"DN_OutlierInclude_p_001_mdrmd"	"DN_OutlierInclude_n_001_mdrmd"	"SP_Summaries_welch_rect_area_5_1"	"SB_BinaryStats_diff_longstretch0"	"SB_MotifThree_quantile_hh"	"SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"	"SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"	"SP_Summaries_welch_rect_centroid"	"FC_LocalSimple_mean3_stderr"	"DN_Mean"	"DN_Spread_Std"	"state_Shift..dimension.1."	"state_Shift..dimension.2."	"state_Slope..dimension.1."	"state_Slope..dimension.2."
"1"	1	0.0719582909086891	0.240438574977599	1	1	0.908908734898781	0.0963337398400449	1	3	0.0329218106995885	0	0.291853385029764	2	1	0.1	0	3.08148791101958e-34	3	1.73512645696292	0	0	1.96349540849375	1.18247112612906	-4.44089209850063e-17	1	5.69945902330864	0.179938817622058	3.42183383080134	8.48628002450219
"2"	2	-0.259189476579992	-0.424045578858793	1	1	0.834850033297968	-1.16901597323146	1	2	0.0246913580246914	0	0.313680640834791	3	1	0.6	0	0	3	1.88915916375402	0	0	2.74889357189125	1.43975775144072	-8.88178419700125e-17	1	5.41053623095751	5.70009160832495	-5.35404009762492	2.76787147719077
"3"	3	0.256934473717985	0.0919630692200868	1	1	0.735621939758795	-1.73126003636101	0.888888888888889	3	0.0329218106995885	0	0.23712965730795	1	1	0.4	0.4	1.23259516440783e-33	4	1.73512645696292	0	0	1.96349540849375	1.01641711641558	-5.55111512312578e-16	1	1.57994648752958	6.37488520105643	1.03789863418274	4.21933069937961
"4"	4	-0.671123716846847	-0.815742236911278	1	1	0.488276443017996	1.46052921168062	1	2	0.0452674897119342	0	0.29837727052571	1	1	0.2	-0.4	0	3	1.58109375017182	0	0	1.96349540849375	1.47003224137159	-1.33226762955019e-16	1	2.61235568666599	6.47805123577276	7.62276039219934	-3.08988695702752
"5"	5	0.443305854469064	0.104212339527675	1	1	1.14760154800934	3.25432421593207	1	3	0.0823045267489712	0	0.328391344247028	1	1	-0.2	0.2	3.08148791101958e-34	3	1.31078367809971	0	0	1.96349540849375	0.943345103718586	3.33066907387547e-17	1	2.25508960301943	0.188678665785412	2.48316400187186	6.26020551459396
"6"	6	0.0130865477779325	0.195076600849164	1	5	0.380395665848578	0.213970376485037	0.888888888888889	7	0.0625	0	0.216150218727102	1	0.5	-0.1	-0.6	0	3	1.73512645696292	0	0	0.7853981633975	1.36938833895562	3.46944695195361e-17	1	4.35104882220082	2.7364007722713	0.880899361223055	7.5031237461072
"7"	7	0.310417129225207	0.310417129225207	1	2	0.974314752869349	-0.902630294938282	1	3	0.0246913580246914	0	0.325466397623657	2	1	0.1	0.2	3.08148791101958e-34	3	1.88915916375402	0	0	1.96349540849375	1.16835586583105	-8.02136135291676e-16	1	2.34523449619897	3.35677910658901	-3.82790171346251	-4.14366355848531
"8"	8	-0.205985350882672	-0.387232604882363	2	4	0.801027957729363	-0.350261849020308	0.888888888888889	5	0.111111111111111	0	0.236390246741542	1	0.333333333333333	-0.1	0.5	3.08148791101958e-34	3	1.88915916375402	0	0	0.7853981633975	1.35956699512952	1.66533453693773e-17	1	3.49019154399663	4.94462813082805	-1.15488820640353	1.57643788477955
"9"	9	0.723673335934377	0.840852458327259	1	1	0.45445436744939	-0.553328681731248	1	4	0.0617283950617284	0	0.302897328355282	2	1	0	0	0	3	1.52295506753132	0	0	1.96349540849375	1.22753733437045	-9.76996261670138e-16	1	-0.0882175705186636	6.86878118374656	0.248151688232652	0.941690180724651
"10"	10	0.367689863184432	0.544204971115431	1	1	1.03972077083992	-0.876010039734811	1	3	0.0123456790123457	0	0.271142014598948	5	1	0	0.3	3.08148791101958e-34	2	2.04319187054512	0	0	1.17809724509625	1.38242122884116	-1.77635683940025e-16	1	5.24420749639188	2.34672553418321	4.61374496662377	2.07916444089359
