"instance"	"DN_HistogramMode_5"	"DN_HistogramMode_10"	"CO_f1ecac"	"CO_FirstMin_ac"	"CO_HistogramAMI_even_2_5"	"CO_trev_1_num"	"MD_hrv_classic_pnn40"	"SB_BinaryStats_mean_longstretch1"	"SB_TransitionMatrix_3ac_sumdiagcov"	"PD_PeriodicityWang_th0_01"	"CO_Embed2_Dist_tau_d_expfit_meandiff"	"IN_AutoMutualInfoStats_40_gaussian_fmmi"	"FC_LocalSimple_mean1_tauresrat"	"DN_OutlierInclude_p_001_mdrmd"	"DN_OutlierInclude_n_001_mdrmd"	"SP_Summaries_welch_rect_area_5_1"	"SB_BinaryStats_diff_longstretch0"	"SB_MotifThree_quantile_hh"	"SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"	"SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"	"SP_Summaries_welch_rect_centroid"	"FC_LocalSimple_mean3_stderr"	"DN_Mean"	"DN_Spread_Std"	"state_Shift..dimension.1."	"state_Shift..dimension.2."	"state_Slope..dimension.1."	"state_Slope..dimension.2."
"1"	1	-0.866111701486472	-1.01228998253246	1	4	0.908908734898781	-0.603936234546539	1	5	0.0416666666666667	0	0.433676449165822	1	0.5	0.2	0.7	3.08148791101958e-34	3	1.88915916375402	0	0	1.17809724509625	1.31072297085806	-2.88657986402541e-16	1	5.69945902330864	0.179938817622058	3.42183383080134	8.48628002450219
"2"	2	-0.714281835059913	-0.161600757735567	2	5	0.735621939758795	-0.772512948702821	0.888888888888889	6	0.111111111111111	0	0.213759090410607	1	0.333333333333333	0	0.7	3.08148791101958e-34	2	1.73512645696292	0	0	0.7853981633975	1.21953127373189	5.32907051820075e-16	1	5.41053623095751	5.70009160832495	-5.35404009762492	2.76787147719077
"3"	3	0.00446834716577351	0.0044683471657736	1	2	1.03972077083992	0.0493468139978168	1	3	0.0625	2	0.260357057804079	2	0.5	0	0.6	3.08148791101958e-34	3	1.67698777432242	0	0	1.17809724509625	1.26848536553645	2.22044604925031e-16	1	1.57994648752958	6.37488520105643	1.03789863418274	4.21933069937961
"4"	4	0.927319318892736	0.927319318892736	1	2	0.801027957729363	-1.84369196186846	1	3	0.0205761316872428	0	0.301457645660658	2	1	0.3	-0.2	0	2	1.88915916375402	0	0	1.570796326795	1.3220994928761	8.88178419700125e-17	1	2.61235568666599	6.47805123577276	7.62276039219934	-3.08988695702752
"5"	5	-1.05558854797993	-0.902598280675616	1	1	1.08219553003877	0.847964941314415	1	2	0.037037037037037	0	0.337551383353979	3	1	-0.2	0.3	0	3	1.73512645696292	0	0	2.74889357189125	1.25973604369966	-4.88498130835069e-16	1	2.25508960301943	0.188678665785412	2.48316400187186	6.26020551459396
"6"	6	-0.758162915876744	-0.588678690619714	1	1	0.49692912664824	-0.434084038444287	1	2	0.0329218106995885	0	0.317290220685788	1	1	-0.2	0.4	3.08148791101958e-34	4	1.73512645696292	0	0	1.96349540849375	1.40994552155563	-4.3229309021342e-16	1	4.35104882220082	2.7364007722713	0.880899361223055	7.5031237461072
"7"	7	-0.505847859534921	0.390621322362768	1	2	0.97431475286935	-1.93228145710478	1	3	0.0625	0	0.279497168480014	2	0.5	-0.1	0.4	3.08148791101958e-34	3	2.04319187054512	0	0	1.17809724509625	1.3123391672558	4.21884749357559e-16	1	2.34523449619897	3.35677910658901	-3.82790171346251	-4.14366355848531
"8"	8	0.404770113343469	0.404770113343469	1	2	0.281167572309404	1.66362649705223	1	3	0.0416666666666667	0	0.310538356247279	1	0.5	-0.1	0.7	1.23259516440783e-33	3	1.88915916375402	0	0	1.17809724509625	1.2141178185534	9.43689570931383e-17	1	3.49019154399663	4.94462813082805	-1.15488820640353	1.57643788477955
"9"	9	-0.330537894486396	-0.165019319058026	1	3	0.693147180559945	-0.558488076309882	1	1	0.111111111111111	0	0.205985611959466	2	0.333333333333333	0.8	-0.4	1.92592994438724e-33	2	1.67698777432242	0	0	0.7853981633975	0.776269246669586	-1.11022302462516e-16	1	-0.0882175705186636	6.86878118374656	0.248151688232652	0.941690180724651
"10"	10	-0.0549970083479764	-0.223271690411474	1	6	0.627741162589377	1.81706093219124	1	5	0.0740740740740741	0	0.229720598193236	2	0.333333333333333	-0.4	0.6	0	3	1.88915916375402	0	0	0.7853981633975	0.823605746827833	-7.60502771868232e-16	1	5.24420749639188	2.34672553418321	4.61374496662377	2.07916444089359
