"instance"	"DN_HistogramMode_5"	"DN_HistogramMode_10"	"CO_f1ecac"	"CO_FirstMin_ac"	"CO_HistogramAMI_even_2_5"	"CO_trev_1_num"	"MD_hrv_classic_pnn40"	"SB_BinaryStats_mean_longstretch1"	"SB_TransitionMatrix_3ac_sumdiagcov"	"PD_PeriodicityWang_th0_01"	"CO_Embed2_Dist_tau_d_expfit_meandiff"	"IN_AutoMutualInfoStats_40_gaussian_fmmi"	"FC_LocalSimple_mean1_tauresrat"	"DN_OutlierInclude_p_001_mdrmd"	"DN_OutlierInclude_n_001_mdrmd"	"SP_Summaries_welch_rect_area_5_1"	"SB_BinaryStats_diff_longstretch0"	"SB_MotifThree_quantile_hh"	"SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"	"SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"	"SP_Summaries_welch_rect_centroid"	"FC_LocalSimple_mean3_stderr"	"DN_Mean"	"DN_Spread_Std"	"state_Shift..dimension.1."	"state_Shift..dimension.2."	"state_Slope..dimension.1."	"state_Slope..dimension.2."
"1"	1	-0.731711133429382	-0.407486780388253	1	1	1.2130075659799	2.01495672293853	1	4	0.0246913580246914	0	0.364310269355469	1	1	0.2	0	0	2	1.88915916375402	0	0	2.74889357189125	1.31114456596063	5.63438184997267e-16	1	5.69945902330864	0.179938817622058	3.42183383080134	8.48628002450219
"2"	2	-0.310223821886377	-0.732465504603615	1	1	0.215761554338836	1.31015555177549	0.888888888888889	2	0.0246913580246914	0	0.298549464080747	3	1	0	-0.4	0	2	1.88915916375402	0	0	1.96349540849375	1.4552789758557	4.20496970576778e-16	1	5.41053623095751	5.70009160832495	-5.35404009762492	2.76787147719077
"3"	3	0.195591885362485	0.142320022933966	1	2	0.735621939758795	0.544246345760144	1	3	0.0246913580246914	0	0.284521830644504	3	1	-0.2	0.3	2.77333911991762e-33	4	1.88915916375402	0	0	1.96349540849375	1.13810795740366	-8.32667268468867e-18	1	1.57994648752958	6.37488520105643	1.03789863418274	4.21933069937961
"4"	4	-0.419205074110125	-0.225777010309782	1	1	0.562335144618808	5.52974408181728	0.888888888888889	4	0.037037037037037	0	0.326516939409732	1	1	-0.1	0	3.08148791101958e-34	4	1.73512645696292	0	0	1.96349540849375	1.38679726757423	2.22044604925031e-16	1	2.61235568666599	6.47805123577276	7.62276039219934	-3.08988695702752
"5"	5	-0.239159736439908	-0.0762301883040629	1	1	1.0167895120682	2.10961721083134	1	4	0	0	0.342502560748246	1	1	-0.2	0.4	0	4	2.19722457733622	0	0	1.570796326795	1.43325416898605	2.35922392732846e-17	1	2.25508960301943	0.188678665785412	2.48316400187186	6.26020551459396
"6"	6	0.489468928205095	0.633645536402604	1	4	1.03972077083992	-1.92847039118937	1	5	0.0740740740740741	0	0.297756237043102	1	0.333333333333333	-0.2	0.4	7.70371977754894e-35	2	1.88915916375402	0	0	1.17809724509625	1.26014000888202	-1.55431223447522e-16	1	4.35104882220082	2.7364007722713	0.880899361223055	7.5031237461072
"7"	7	-0.364637191046771	0.156217811270809	1	2	1.03972077083992	1.46345741511976	0.888888888888889	4	0.0246913580246914	0	0.320440011891466	3	1	0	0.4	3.08148791101958e-34	4	1.88915916375402	0	0	1.570796326795	1.27286514207845	-7.7715611723761e-17	1	2.34523449619897	3.35677910658901	-3.82790171346251	-4.14366355848531
"8"	8	-0.731743262805525	-0.163228861835957	1	2	0.562335144618808	-1.35334313834414	1	4	0.00823045267489712	2	0.293114888880751	2	1	0	0.3	3.08148791101958e-34	3	2.04319187054512	0	0	1.96349540849375	1.35041314023735	6.66133814775094e-17	1	3.49019154399663	4.94462813082805	-1.15488820640353	1.57643788477955
"9"	9	-0.537467490693337	0.0787898581454007	2	3	1.03972077083992	-0.182862410101017	1	5	0.0416666666666667	0	0.224407776784684	1	1	0	0.6	7.70371977754894e-35	4	1.73512645696292	0	0	0.7853981633975	1.46498347873307	-4.44089209850063e-17	1	-0.0882175705186636	6.86878118374656	0.248151688232652	0.941690180724651
"10"	10	0.0159437044839518	0.0159437044839518	1	4	0.801027957729363	-1.5812104389422	0.888888888888889	5	0.0625	2	0.242661892590151	5	0.5	0.5	0.3	6.93334779979405e-34	2	1.67698777432242	0	0	1.17809724509625	1.46704588616058	-3.5527136788005e-16	1	5.24420749639188	2.34672553418321	4.61374496662377	2.07916444089359
